dataset_key,imbalance_ratio,training_size,seed,method,generated_count,real_minority_count,real_majority_count,roc_auc,pr_auc,balanced_accuracy,f1,brier,n_samples,n_features,n_numeric_features,n_categorical_features,original_imbalance_ratio,minority_size,preprocessed_dim,missingness_rate,baseline_roc_auc
adult,2.0,256,0,real_balanced,0,170,170,0.880933253588627,0.7073764104583585,0.7941419650922272,0.6533397175005985,0.14619411001387428,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,2.0,256,0,direct_smote,85,85,170,0.8697640989256726,0.6923872367609385,0.7659810750807123,0.6318572372769332,0.14580119018866355,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,2.0,256,0,direct_displacement,85,85,170,0.8651442776511844,0.6860398284524826,0.765233442870572,0.6293871136720797,0.14611310922690995,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
