method,candidate_id,mean_roc_auc,std_roc_auc,mean_delta_vs_direct,wins_vs_direct,comparisons
direct_displacement,direct_displacement,0.6756842873828217,0.006163240296562362,0.0,0,2
latent_displacement,mode=factorised|capacity=0.857496|neighbors=14|lambda=0.268748:1.09237,0.6298656588404419,0.021611573645858032,-0.04581862854237989,0,2
