dataset_key,imbalance_ratio,training_size,seed,method,generated_count,real_minority_count,real_majority_count,roc_auc,pr_auc,balanced_accuracy,f1,brier,n_samples,n_features,n_numeric_features,n_categorical_features,original_imbalance_ratio,minority_size,preprocessed_dim,missingness_rate,baseline_roc_auc
adult,2.0,256,0,real_balanced,0,170,170,0.880933253588627,0.7073764104583585,0.7941419650922272,0.6533397175005985,0.14619411001387428,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,2.0,256,0,direct_smote,85,85,170,0.8697640989256726,0.6923872367609385,0.7659810750807123,0.6318572372769332,0.14580119018866355,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,2.0,256,0,direct_displacement,85,85,170,0.8651442776511844,0.6860398284524826,0.765233442870572,0.6293871136720797,0.14611310922690995,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,2.0,256,0,latent_smote,85,85,170,0.8671348162662211,0.6827127127036146,0.762906925860503,0.6296594261196031,0.13970414287619992,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,2.0,256,0,latent_displacement,85,85,170,0.8710672769964993,0.6924278701796869,0.7628300222341164,0.6332417582417582,0.13437586908399887,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,2.0,512,0,real_balanced,0,342,342,0.893293563671827,0.7501279719131615,0.8072805229866231,0.6627532228360957,0.1447344479862847,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,2.0,512,0,direct_smote,171,171,342,0.888099312864627,0.7354349275728801,0.7852328763604112,0.662533692722372,0.1310310128613135,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,2.0,512,0,direct_displacement,171,171,342,0.8882612569842079,0.7392435046061755,0.7903553154798876,0.6656126482213439,0.1335847294912528,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,2.0,512,0,latent_smote,171,171,342,0.889359695621818,0.7410779946269702,0.7821806301527413,0.6622553074165978,0.1255763436883612,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,2.0,512,0,latent_displacement,171,171,342,0.8892711112416649,0.7411906420226527,0.7843727225408763,0.665016501650165,0.1260344794637661,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,2.0,1024,0,real_balanced,0,682,682,0.8971283564127799,0.7525754510089155,0.8126722335458865,0.669352054321556,0.14087151365130182,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,2.0,1024,0,direct_smote,341,341,682,0.8905491110831241,0.7352828069442665,0.7967772224636274,0.6659949622166247,0.13181558370096713,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,2.0,1024,0,direct_displacement,341,341,682,0.8897304987832825,0.7403496618633129,0.7976765637407603,0.6659992491552997,0.133419489507499,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,2.0,1024,0,latent_smote,341,341,682,0.8882275068982977,0.7382782597103577,0.787822856417923,0.6643543223052295,0.12510244242408677,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,2.0,1024,0,latent_displacement,341,341,682,0.8906809385604634,0.7476839543430513,0.7912916052968648,0.6698782282885053,0.1223923500864639,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,2.0,2048,0,real_balanced,0,1366,1366,0.905911592379205,0.7765203019097514,0.8176912474589564,0.6738956740098162,0.1325871100248297,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,2.0,2048,0,direct_smote,683,683,1366,0.8989673650742444,0.7649934675250901,0.805864196409431,0.6771042084168337,0.12295659035255643,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,2.0,2048,0,direct_displacement,683,683,1366,0.8977207612566005,0.7617111240760472,0.8055488800268118,0.6714634146341464,0.12565583813583403,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,2.0,2048,0,latent_smote,683,683,1366,0.8997626798356311,0.7645893279959961,0.7952732838362779,0.6755888650963597,0.11385752907004165,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
adult,2.0,2048,0,latent_displacement,683,683,1366,0.8992465261335947,0.7670237654954777,0.794787924848717,0.6745024709496461,0.11422784406389856,48842,14,6,8,3.179173440574998,11687,105,0.009454684785342825,0.9272964809688664
